model,posterior
xgboost,0.8842529880068621
nn_full,0.8549455956961833
nn_lv1,0.8597704046213486
nn_lv2,0.8553957334062563
nn_lv3,0.8269155492503886
nn_lv4,0.7717832687871318
xgboost,0.8749015845681709
nn_full,0.8643233735430488
nn_lv1,0.8517915878686717
nn_lv2,0.8476271742290992
nn_lv3,0.8130034593105359
nn_lv4,0.7567377556648186
xgboost,0.8639613679176785
nn_full,0.8579415515324803
nn_lv1,0.8511170040108198
nn_lv2,0.845474575950898
nn_lv3,0.8086946446073842
nn_lv4,0.751067009672814
xgboost,0.8841545931985342
nn_full,0.8650406819713791
nn_lv1,0.8535625497356205
nn_lv2,0.8487776905211735
nn_lv3,0.8275146955979136
nn_lv4,0.7734421477359514
xgboost,0.8857401392424057
nn_full,0.8655863457075087
nn_lv1,0.8559361643048187
nn_lv2,0.851337964411594
nn_lv3,0.8247929269734724
nn_lv4,0.7757996653508042
xgboost,0.887956054342043
nn_full,0.8769768172558053
nn_lv1,0.8806489255343185
nn_lv2,0.8672593489425711
nn_lv3,0.8475166157642853
nn_lv4,0.7945798699964064
xgboost,0.8954025321331603
nn_full,0.8725173040403281
nn_lv1,0.8626081284546305
nn_lv2,0.8588551813227719
nn_lv3,0.8374085354765907
nn_lv4,0.7797359369103807
xgboost,0.8870707855768701
nn_full,0.867505836129442
nn_lv1,0.8524707096480371
nn_lv2,0.857808748808628
nn_lv3,0.8332819825111014
nn_lv4,0.777202441783664
xgboost,0.8801252563957168
nn_full,0.8620302112523418
nn_lv1,0.8488063363922014
nn_lv2,0.8505393023063681
nn_lv3,0.8277233797635136
nn_lv4,0.7693379494452608
xgboost,0.8944181133387394
nn_full,0.8789210878122045
nn_lv1,0.8797300583702805
nn_lv2,0.8745953308324412
nn_lv3,0.8555311004690964
nn_lv4,0.7895440887142238
xgboost,0.8797762100827482
nn_full,0.867442179984935
nn_lv1,0.8643519198140999
nn_lv2,0.8559228273476249
nn_lv3,0.8322670171967316
nn_lv4,0.7643472700053986
xgboost,0.8744287587851867
nn_full,0.8628046350941553
nn_lv1,0.8536593576003787
nn_lv2,0.8422821077350225
nn_lv3,0.819938674049419
nn_lv4,0.7658915648264447
xgboost,0.878545372294557
nn_full,0.8630333160374147
nn_lv1,0.8568445125838274
nn_lv2,0.8519022096867273
nn_lv3,0.8233499438016878
nn_lv4,0.7609807955024771
xgboost,0.8886085010524056
nn_full,0.8709191010704108
nn_lv1,0.8688674696515406
nn_lv2,0.8608140577168113
nn_lv3,0.8397995462795189
nn_lv4,0.7852233216028881
xgboost,0.8941453240004297
nn_full,0.8742680709073128
nn_lv1,0.8803416049949304
nn_lv2,0.8730850885676472
nn_lv3,0.844321689668742
nn_lv4,0.7913547105684104
xgboost,0.8950222708071286
nn_full,0.8749082757907497
nn_lv1,0.8822743737740948
nn_lv2,0.8704518390081285
nn_lv3,0.8397677559734573
